Season,Name,Team,GS,IP,vFA (pi),ERA,FA-AA,FT-AA,FC-AA,FS-AA,FO-AA,SI-AA,SL-AA,CU-AA,KC-AA,EP-AA,CH-AA,SC-AA,KN-AA,SLO-AA,ST-AA,CUO-AA,CV-AA,NameASCII,PlayerId,MLBAMID
2024,"Yu Darvish","SDP",16,81.2,94.27335221069869,3.3061225519335236,37.33466265690377,,36.20897783551897,38.33270799067982,,33.52210624262972,37.97885857200214,41.939724392361114,42.64301681518555,,,,,39.02277974656357,36.252832586115055,41.939724392361114,,"Yu Darvish",13074,506433
2025,"Trevor Williams","WSN",17,82.2,87.88610700448613,6.205645352198858,17.184871036770666,,,,,15.431284586588541,16.02416480654762,,,,14.992981613323252,,,16.034004586641906,16.021186317462778,,,"Trevor Williams",16977,592866
2024,"Cole Irvin","BAL",16,84,91.84921511063665,4.071428941220687,43.123318142361114,,39.83388671875,,,41.336737624737395,44.12262947328629,37.21280739524148,,,39.81692575853924,,,44.12262947328629,,37.21280739524148,,"Cole Irvin",19244,608344
2025,"Max Scherzer","TOR",17,85,93.52647697855029,5.188235294117647,34.067550885571215,,30.67092556423611,,,,31.86300816869301,37.07761600378788,,,29.156415264423078,,,31.86300816869301,,37.07761600378788,,"Max Scherzer",3137,453286
2024,"Clarke Schmidt","NYY",16,85.1,,2.8476564197335494,,,34.27910501596267,,,38.675073642418035,28.230834293886613,,42.47932635613208,,21.437177870008682,,,,28.230834293886613,,,"Clarke Schmidt",19899,657376
2025,"Tyler Mahle","TEX",16,86.2,92.26001690423976,2.1807692947613435,43.29960480628655,,38.71660267223012,38.35546365045692,,,40.915361045063406,,,,,,,40.915361045063406,,,,"Tyler Mahle",16358,641816
2025,"Janson Junk","MIA",16,87.1,93.4165859375,4.53435140911722,55.91367578125,,,,,,51.59703416926157,53.0178412895698,,,43.25070219494047,,,53.80124551741803,47.48101183832908,53.0178412895698,,"Janson Junk",23301,676083
2024,"Chris Paddack","MIN",17,88.1,93.3738518370607,4.992453117655808,48.956669329073485,,,,,,45.83686107073643,46.85809264520202,,,40.18925936259921,,,45.83686107073643,,46.85809264520202,,"Chris Paddack",20099,663978
2024,"Nick Martinez","CIN",16,89,92.83017719655797,3.842696629213483,57.358493381076386,,56.514548010859926,,,58.74651431341241,56.55233455049819,63.17278042218543,,,61.04428023465704,,,56.55233455049819,,63.17278042218543,,"Nick Martinez",12730,607259
2024,"Dakota Hudson","COL",18,89,90.18636976522842,6.168539854631733,36.04727238906926,,33.83871677943638,,,36.50094888663968,35.36499354251355,35.27220177283654,,,34.66971492135762,,,35.36499354251355,,35.27220177283654,,"Dakota Hudson",19206,641712
2025,"Aaron Civale","- - -",18,89,92.00041376443274,5.258426966292135,42.01651793953002,,42.23448531894646,37.703953240507396,,38.33019886363636,42.404358794723734,47.27818731051772,,,,,,42.554235284978695,39.107076009114586,47.27818731051772,,"Aaron Civale",19479,650644
2024,"Justin Verlander","HOU",17,90.1,93.69962004226268,5.479705105585477,56.64194570871261,,,,,,53.595616675204916,53.17230401011561,,,50.5808837890625,,,53.595616675204916,,53.17230401011561,,"Justin Verlander",8700,434378
2025,"Tyler Glasnow","LAD",18,90.1,95.68392730075901,3.1881920614315504,55.984879152724666,,,,,54.99397412909836,53.509508792048926,59.855305989583336,,,,,,53.509508792048926,,59.855305989583336,,"Tyler Glasnow",14374,607192
2025,"Aaron Nola","PHI",17,94.1,91.81550797732068,6.0106010307932625,20.146038240131578,,20.526167629076088,,,19.207112919817614,,,21.467957210749454,,15.847084554036458,,,,,,,"Aaron Nola",16149,605400
2024,"Gerrit Cole","NYY",17,95,95.8891251790831,3.4105263157894736,42.57778891925247,,40.540125,,,44.05140686035156,40.356741768973215,,44.88697054660279,,44.08247950819672,,,40.356741768973215,,,,"Gerrit Cole",13125,543037
2024,"Jon Gray","TEX",19,95.2,95.06197291979011,4.703832877656435,30.27379767147676,,,,,,33.606205222473605,38.52181104203345,,,33.501057942708336,,,33.606205222473605,,38.52181104203345,,"Jon Gray",14916,592351
2024,"Joe Musgrove","SDP",19,99.2,93.07288009129213,3.8829432428913244,33.13667105157455,,36.549910506965944,,,34.892514436141305,29.652045609423677,39.58995621927669,,,26.808406706779234,,,37.949493408203125,29.54734633773659,39.58995621927669,,"Joe Musgrove",12970,605397
2024,"James Paxton","- - -",21,100.1,93.38611942498008,4.395349101803653,41.770932139803065,,39.85806216833726,,,34.592052504595586,,,44.51259095064676,,44.0678471156529,,,,,,,"James Paxton",11828,572020
2024,"Carlos Carrasco","CLE",21,103.2,91.7931534426714,5.6430869551554235,36.847824928977275,,,,,36.43209054129464,34.18779920212766,40.3962188185307,,,34.11687620501285,,,34.31315734715496,33.2795195997807,40.3962188185307,,"Carlos Carrasco",6632,471911
2025,"Taijuan Walker","PHI",21,103.2,92.00120818309294,4.2540193969633195,41.20274221161265,,39.998819666584644,39.61094104193653,,41.4171875,41.885924344235754,42.30518405720339,,,,,,41.885924344235754,,42.30518405720339,,"Taijuan Walker",11836,592836
2024,"Blake Snell","SFG",20,104,96.10436625608273,3.1153846153846154,56.69457978075518,,,,,,58.34389264396067,59.657864187906725,,,53.60343398311897,,,58.34389264396067,,59.657864187906725,,"Blake Snell",13543,605483
2024,"Jordan Montgomery","ARI",21,104,92.02788957281145,6.403846153846154,43.57410366687711,,,,,44.59023215553977,43.819566999162944,47.19229166666667,,,46.27555672653959,,,43.819566999162944,,47.19229166666667,,"Jordan Montgomery",16511,656756
2025,"Antonio Senzatela","COL",23,108,95.00319870283019,7.41666719059889,43.064774816176474,,,,,39.77343401227679,42.80429388552296,49.482799271663346,,,38.86729705028045,,,42.80429388552296,,49.482799271663346,,"Antonio Senzatela",15488,622608
2025,"Clayton Kershaw","LAD",22,111.2,88.82841670048701,3.385074703958419,54.01529036243822,,,54.95575769168814,,42.95154363458807,54.503765776279394,62.58118179563492,68.01778411865234,46.46025848388672,,,,54.503765776279394,,62.58118179563492,,"Clayton Kershaw",2036,477132
