Name,Team,FA-AA,FT-AA,FC-AA,FS-AA,FO-AA,SI-AA,SL-AA,CU-AA,KC-AA,EP-AA,CH-AA,SC-AA,KN-AA,SLO-AA,ST-AA,CUO-AA,CV-AA,WAR,NameASCII,PlayerId,MLBAMID
"Brad Wieck","CHC",54.305002809480854,,,,,,50.37630844116211,,56.14385446688024,,,,,50.37630844116211,,,,0.2673888763797024,"Brad Wieck",16390,623364
"Gordon Graceffo","STL",50.76730491187568,,,,,48.55292574564616,48.09226346097861,54.34540497936965,,,42.520157928466794,,,48.09226346097861,,54.34540497936965,,0.2635279339344524,"Gordon Graceffo",29519,700669
"Lane Ramsey","CHW",41.127558191138576,,,,,,41.499465328523485,,,,,,,41.499465328523485,,,,0.26071218024695136,"Lane Ramsey",25071,682010
"Seth Martinez","- - -",13.654215282988998,,14.311228179931641,,,14.878719087596343,15.64772045763233,,,,18.473840983141038,,,,15.64772045763233,,,0.2563533708101115,"Seth Martinez",21045,661527
"Collin Snider","- - -",17.289145865838584,,18.71599485874176,,,12.61698057461982,20.007350771112595,21.128560569069602,,,11.184192419052124,,,17.407947840653065,22.310542696575787,,21.128560569069602,0.2553625711676232,"Collin Snider",23307,676092
"Greg Holland","- - -",65.31792999319042,,,,,,65.96453499102026,70.30450399298417,,,59.78607368469238,,,65.96453499102026,,70.30450399298417,,0.25524821045713686,"Greg Holland",7196,518813
"Porter Hodge","CHC",43.12985113111593,,,42.32978543368253,,,37.16699971247763,,,,,,,40.30556881066525,36.474976681919564,,,0.2548911985338731,"Porter Hodge",26413,687863
"Sam Coonrod","- - -",32.85379365595376,,30.868527861202466,,,34.391957917717946,31.652589258600454,31.98353338241577,,,29.67074507701246,,,31.977205714400935,30.327072381973267,31.98353338241577,,0.25345986104621476,"Sam Coonrod",17264,656322
"Tyson Miller","- - -",20.802254519208805,,,35.96310806274414,,21.504106438678242,16.425433595671908,22.430183136299863,,,19.81199189821879,,,21.89723305080248,14.886908076503166,22.430183136299863,,0.24985680323411236,"Tyson Miller",19976,668338
"Spencer Miles","TOR",38.89623128631968,,,,,37.81708884450187,38.063884016396344,39.657855165921724,,,,,,38.063884016396344,,39.657855165921724,,0.24980516674701975,"Spencer Miles",31621,693686
"Andrew Morris","MIN",61.29751202127208,,64.05165209089007,,,58.807369432951276,61.278539299964905,69.91650867462158,,,53.42583001178244,,,,61.278539299964905,69.91650867462158,,0.24690222947638868,"Andrew Morris",31891,702193
"Kyle Nelson","- - -",40.40149450057592,,41.3347580706487,,,,41.00334232231788,42.12875747680664,,,36.4671745300293,,,41.01819833913645,40.82417508780238,42.12875747680664,,0.24676420309896308,"Kyle Nelson",20515,669459
"Brendon Little","- - -",34.71445248921712,,34.70695459172967,,,28.00464297606882,37.930397327129654,,41.390726521809896,,,,,37.930397327129654,,,,0.24342810009248755,"Brendon Little",21574,663893
"Francisco Pérez","- - -",53.655240092717165,,,,,43.208715319633484,50.55636004105355,50.76780234442817,,,40.956947635959935,,,50.55636004105355,,50.76780234442817,,0.24295615163475548,"Francisco Perez",21018,660906
"Paxton Schultz","- - -",36.094382041741994,,33.2765846095458,,,32.61216735839844,34.15024476581149,,,,37.748017518416695,,,34.15024476581149,,,,0.24044815685873233,"Paxton Schultz",25501,687606
"Sawyer Gipson-Long","DET",29.35779481137533,,28.233735896922923,,,28.654073315697747,29.5705118271911,,,,30.056248474121094,,,29.5705118271911,,,,0.24000934074405894,"Sawyer Gipson-Long",26048,687830
"Daniel Castano","MIA",37.24372135596939,,48.26089081728369,,,39.39388848614219,39.864522018978874,,,,40.104087314090215,,,39.864522018978874,,,,0.2324121935092952,"Daniel Castano",19805,641447
"Denyi Reyes","- - -",36.53050980916837,,33.1507724555763,,,35.246176147460936,34.59158757955086,41.5035233931108,,,34.12079014190256,,,34.59158757955086,,41.5035233931108,,0.23027679537044926,"Denyi Reyes",20526,660593
"Nic Enright","CLE",55.21347365771069,,,,,,50.890299976735875,52.47879991531372,,,51.465641021728516,,,50.890299976735875,,52.47879991531372,,0.2299055775943684,"Nic Enright",25553,663671
"Shintaro Fujinami","- - -",35.34612912194855,,32.89619072733471,38.10233782696468,,,31.283026056382262,43.87084197998047,,,,,,34.9856912949506,30.551104212916176,43.87084197998047,,0.22905712350976432,"Shintaro Fujinami",31839,660261
"Kade Strowd","BAL",49.75560206095378,,45.269967907203174,,,46.154378984795244,43.31058203005323,44.63134479522705,,,,,,,43.31058203005323,44.63134479522705,,0.22858493488140424,"Kade Strowd",26191,669704
"Phoenix Sanders","TBR",57.26454093239524,,,,,,54.043574427699184,,56.84829314874143,,,,,54.043574427699184,,,,0.22832706591271437,"Phoenix Sanders",20541,676637
"Louis Head","- - -",36.87530531175066,,,,,,34.439756516047886,,,,32.78970040215386,,,34.439756516047886,,,,0.22794923553671334,"Louis Head",13259,545343
"Stefan Crichton","ARI",24.909562587738037,,,,,22.00596903276074,,23.217327856012687,,,24.749528884887695,,,,,23.217327856012687,,0.22756184220332476,"Stefan Crichton",16058,592233
